feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
game_format,gamification,intended_outcome,not_applicable,9,4.0
intended_outcome,not_applicable,library_context,cultural_heritage_institution,9,4.0
game_format,multiple_game_formats,library_context,unspecified_library_context,9,4.0
evidence_type,practitioner_reflection,library_context,multiple_library_types,9,4.0
library_context,unspecified_library_context,peer_review,editorial_reviewed,9,4.0
intended_outcome,not_applicable,service_area,cultural_heritage_and_research,9,4.0
evidence_type,instrument_or_framework_development,service_area,collections_and_access,9,4.0
evidence_type,instrument_or_framework_development,library_context,cultural_heritage_institution,9,4.0
game_format,unspecified_game_format,intended_outcome,not_applicable,9,4.0
evidence_type,theoretical_or_conceptual,game_format,digital_game,9,4.0
coding_confidence,high,source_type,toolkit_or_guidance_document,9,4.0
intended_outcome,not_applicable,source_type,toolkit_or_guidance_document,9,4.0
service_area,learning_and_literacy,service_area,professional_capacity,9,4.0
audience,not_applicable,source_type,toolkit_or_guidance_document,9,4.0
evidence_type,theoretical_or_conceptual,library_context,non_library_context,9,4.0
evidence_type,content_or_artifact_analysis,intended_outcome,not_applicable,9,4.0
library_context,non_library_context,service_area,collections_and_access,9,4.0
game_format,tabletop_roleplaying_game,service_area,discovery_and_advisory,9,4.0
library_context,cultural_heritage_institution,source_type,peer_reviewed_journal_article,9,4.0
library_context,cultural_heritage_institution,peer_review,peer_reviewed,9,4.0
game_format,digital_game,primary_methodology,qualitative_study,9,4.0
intended_outcome,equitable_access,source_type,peer_reviewed_journal_article,9,4.0
intended_outcome,equitable_access,peer_review,peer_reviewed,9,4.0
audience,students,primary_methodology,mixed_methods,9,4.0
audience,not_applicable,library_context,academic_library,9,4.0
evidence_type,content_or_artifact_analysis,service_area,collections_and_access,9,4.0
intended_outcome,learning_and_literacy,library_context,unspecified_library_context,9,4.0
game_format,multiple_game_formats,library_context,non_library_context,8,3.6
audience,teens,service_area,community_and_inclusion,8,3.6
